filename,file_size,file_size_bytes,creation_date,original_path,full_path,file_extension,category,primary_type,mime_type,encoding,intelligent_category,confidence_score,description,key_concepts,content_hash,lines_of_code,complexity_score,predicted_business_value,integration_potential,integration_targets,estimated_effort,maturity_level,roi_potential,agent_affinity,skill_affinity,command_related,dependencies,dependents,agent_tier,last_modified,modification_count,moved_from,status,last_scan_date,documentation_score,test_coverage,code_standards,security_score,accessibility_score,related_files,tags,ownership,last_reviewed,review_status
agents_three_way_audit.md,3.58 KB,3666,07-15-26,/Users/steven/.agent-skills/,/Users/steven/.agent-skills/agents_three_way_audit.md,.md,markdown,markdown,text/markdown,utf-8,skill,0.95,Skill module: agents_three_way_audit.md,"Three,Way,Audit,Agent,GitHub",6d5101464c96963f,100,0.0,0.54,False,,low,production,0.49,"studio-coach,skill-writer,test-writer-fixer","brainstorming,writing-plans,agent-creation-guidance",,,,Tier-0-Canonical,07-15-26 12:19,0,,stable,08-12-26,0.5,0.0,unknown,0.85,0.85,,production,studio-coach,,pending
skills-lock.json,6.12 KB,6272,08-10-26,/Users/steven/.agent-skills/,/Users/steven/.agent-skills/skills-lock.json,.json,json,json,application/json,utf-8,skill,0.95,Skill module: skills-lock.json,"agent,skill",b7e64617e6250166,0,0.0,0.68,True,,low,production,0.61,"studio-coach,skill-writer,test-writer-fixer","brainstorming,writing-plans,agent-creation-guidance","activate-agents,list-skills",,,Tier-0-Canonical,08-10-26 23:25,0,,stable,08-12-26,0.5,0.0,unknown,0.85,0.0,,production,studio-coach,,pending
enriched-.agents.csv,7.77 MB,8151544,07-13-26,/Users/steven/.agent-skills/,/Users/steven/.agent-skills/enriched-.agents.csv,.csv,csv,csv,text/csv,utf-8,skill,0.95,Skill module: enriched-.agents.csv,"Users,Agent,Filename,File,agent",e44995727f4d5f8d,0,0.0,0.68,True,,low,production,0.61,"studio-coach,skill-writer,test-writer-fixer","brainstorming,writing-plans,agent-creation-guidance","activate-agents,list-skills",,,Tier-0-Canonical,06-21-26 12:39,0,,stable,08-12-26,0.5,0.0,unknown,0.85,0.0,,production,studio-coach,,pending
agents_three_way_audit.json,54.34 KB,55648,07-13-26,/Users/steven/.agent-skills/,/Users/steven/.agent-skills/agents_three_way_audit.json,.json,json,json,application/json,utf-8,skill,0.95,Skill module: agents_three_way_audit.json,"Users,Agent,agent,skill,orchestration",0dfaecb48be4a370,0,0.0,0.68,True,,low,production,0.61,"studio-coach,skill-writer,test-writer-fixer","brainstorming,writing-plans,agent-creation-guidance","activate-agents,list-skills",,,Tier-0-Canonical,07-12-26 11:38,0,,stable,08-12-26,0.5,0.0,unknown,0.85,0.0,,production,studio-coach,,pending
docs-07-12-21:16.csv,83.76 KB,85774,07-13-26,/Users/steven/.agent-skills/,/Users/steven/.agent-skills/docs-07-12-21:16.csv,.csv,csv,csv,text/csv,utf-8,skill,0.95,Skill module: docs-07-12-21:16.csv,"Filename,File,Size,Creation,Date",b5e4130b767bdee9,0,0.0,0.68,True,,low,production,0.61,"studio-coach,skill-writer,test-writer-fixer","brainstorming,writing-plans,agent-creation-guidance","activate-agents,list-skills",,,Tier-0-Canonical,07-12-26 21:16,0,,stable,08-12-26,0.5,0.0,unknown,0.85,0.0,,production,studio-coach,,pending
PATH_SCANNING_TEMPLATE.md,967.00 B,967,07-15-26,/Users/steven/.agent-skills/,/Users/steven/.agent-skills/PATH_SCANNING_TEMPLATE.md,.md,markdown,markdown,text/markdown,utf-8,skill,0.95,Skill module: PATH_SCANNING_TEMPLATE.md,"Path,Scanning,Template,Use,Symbolic",99f9a8971dbf881a,29,0.0,0.48,False,,low,production,0.43,"studio-coach,skill-writer,test-writer-fixer","brainstorming,writing-plans,agent-creation-guidance",,,,Tier-0-Canonical,07-15-26 12:28,0,,stable,08-12-26,0.5,0.0,unknown,0.85,0.85,,production,studio-coach,,pending
.skill-lock.json,803.00 B,803,08-08-26,/Users/steven/.agent-skills/,/Users/steven/.agent-skills/.skill-lock.json,.json,json,json,application/json,utf-8,skill,0.95,Skill module: .skill-lock.json,"agent,skill",cc0dae101d76386c,0,0.0,0.68,True,,low,production,0.61,"studio-coach,skill-writer,test-writer-fixer","brainstorming,writing-plans,agent-creation-guidance","activate-agents,list-skills",,,Tier-0-Canonical,08-08-26 07:02,0,,stable,08-12-26,0.5,0.0,unknown,0.85,0.0,,production,studio-coach,,pending
ECOSYSTEM.md,23.28 KB,23834,08-08-26,/Users/steven/.agent-skills/,/Users/steven/.agent-skills/ECOSYSTEM.md,.md,markdown,markdown,text/markdown,utf-8,skill,0.95,Skill module: ECOSYSTEM.md,"Creative,Technical,Ecosystem,Owner,Steven",0949837da7dd43b5,402,0.0,0.81,True,"agents,skills,hooks,mcp-server",medium,production,0.73,"studio-coach,skill-writer,test-writer-fixer","brainstorming,writing-plans,agent-creation-guidance","activate-agents,list-skills",,,Tier-0-Canonical,08-08-26 18:02,0,,stable,08-12-26,0.5,0.0,unknown,0.85,0.85,,production,studio-coach,,pending
inventory-agent-skills.json,2.46 MB,2577306,08-09-26,/Users/steven/.agent-skills/,/Users/steven/.agent-skills/inventory-agent-skills.json,.json,json,json,application/json,utf-8,skill,0.95,Skill module: inventory-agent-skills.json,"Users,agent,skill,mcp,orchestration",3d10e6c320c9613a,0,0.0,0.68,True,,low,production,0.61,"studio-coach,skill-writer,test-writer-fixer","brainstorming,writing-plans,agent-creation-guidance","activate-agents,list-skills",,,Tier-0-Canonical,08-09-26 10:36,0,,stable,08-12-26,0.5,0.0,unknown,0.85,0.0,,production,studio-coach,,pending
docs-08-08-03:48.csv,97.93 KB,100277,08-08-26,/Users/steven/.agent-skills/,/Users/steven/.agent-skills/docs-08-08-03:48.csv,.csv,csv,csv,text/csv,utf-8,skill,0.95,Skill module: docs-08-08-03:48.csv,"Filename,File,Size,Creation,Date",c3a878077d90cad1,0,0.0,0.68,True,,low,production,0.61,"studio-coach,skill-writer,test-writer-fixer","brainstorming,writing-plans,agent-creation-guidance","activate-agents,list-skills",,,Tier-0-Canonical,08-08-26 03:48,0,,stable,08-12-26,0.5,0.0,unknown,0.85,0.0,,production,studio-coach,,pending
README.md,3.65 KB,3741,07-15-26,/Users/steven/.agent-skills/,/Users/steven/.agent-skills/README.md,.md,markdown,markdown,text/markdown,utf-8,skill,0.95,Skill module: README.md,"Local,This,The,Users,agent",0e6a4b5a31bfd445,98,0.0,0.54,False,,low,production,0.49,"studio-coach,skill-writer,test-writer-fixer","brainstorming,writing-plans,agent-creation-guidance",,,,Tier-0-Canonical,07-15-26 12:30,0,,stable,08-12-26,0.85,0.0,unknown,0.85,0.85,,production,studio-coach,,pending
INDEX.md,2.66 KB,2727,07-15-26,/Users/steven/.agent-skills/,/Users/steven/.agent-skills/INDEX.md,.md,markdown,markdown,text/markdown,utf-8,skill,0.95,Skill module: INDEX.md,"Current,Runtime,Index,Last,This",731fdc804b61299d,57,0.0,0.5,False,,low,production,0.45,"studio-coach,skill-writer,test-writer-fixer","brainstorming,writing-plans,agent-creation-guidance",,,,Tier-0-Canonical,07-15-26 12:30,0,,stable,08-12-26,0.5,0.0,unknown,0.85,0.85,,production,studio-coach,,pending
agents_vs_agent_skills_audit.md,10.49 KB,10746,07-15-26,/Users/steven/.agent-skills/,/Users/steven/.agent-skills/agents_vs_agent_skills_audit.md,.md,markdown,markdown,text/markdown,utf-8,skill,0.95,Skill module: agents_vs_agent_skills_audit.md,"Agent,Audit,Generated,Scope,Source",adec97832c99236f,159,0.0,0.59,False,,low,production,0.54,"studio-coach,skill-writer,test-writer-fixer","brainstorming,writing-plans,agent-creation-guidance",,,,Tier-0-Canonical,07-15-26 12:19,0,,stable,08-12-26,0.5,0.0,unknown,0.85,0.85,,production,studio-coach,,pending
