kind,name,classification,sha256,size,path
agent,code-reviewer,canonical-source,86834916d903ad21c8e1d7546729d5ae0525038d4aaf9ae510dfc135735780d3,2848,"/Users/steven/.agent-skills/agents/2-personal-tooled/code-review.md"
agent,code-reviewer,canonical-source,86834916d903ad21c8e1d7546729d5ae0525038d4aaf9ae510dfc135735780d3,2848,"/Users/steven/.agent-skills/agents/code-review.md"
agent,code-reviewer,canonical-source,6eccc59686422e133f137b77346a512506323c262f112fab830164897650b813,2458,"/Users/steven/.agent-skills/agents/code-reviewer.md"
agent,code-reviewer,backup/archive,86834916d903ad21c8e1d7546729d5ae0525038d4aaf9ae510dfc135735780d3,2848,"/Users/steven/.agent-skills/backups/agent-skills-20260815-024526/agents/2-personal-tooled/code-review.md"
agent,code-reviewer,backup/archive,86834916d903ad21c8e1d7546729d5ae0525038d4aaf9ae510dfc135735780d3,2848,"/Users/steven/.agent-skills/backups/agent-skills-20260815-024526/agents/code-review.md"
agent,code-reviewer,backup/archive,6eccc59686422e133f137b77346a512506323c262f112fab830164897650b813,2458,"/Users/steven/.agent-skills/backups/agent-skills-20260815-024526/agents/code-reviewer.md"
agent,code-reviewer,backup/archive,86834916d903ad21c8e1d7546729d5ae0525038d4aaf9ae510dfc135735780d3,2848,"/Users/steven/.agent-skills-backup-2026-08-06/agents/2-personal-tooled/code-review.md"
agent,code-reviewer,backup/archive,86834916d903ad21c8e1d7546729d5ae0525038d4aaf9ae510dfc135735780d3,2848,"/Users/steven/.agent-skills-backup-2026-08-06/agents/code-review.md"
agent,code-reviewer,backup/archive,697bf01df85207d6c55e450e90eed2c788a68cd39478ecee9c82d5d756327ed6,2243,"/Users/steven/.agent-skills-backup-2026-08-06/agents/code-reviewer.md"
agent,code-reviewer,backup/archive,86834916d903ad21c8e1d7546729d5ae0525038d4aaf9ae510dfc135735780d3,2848,"/Users/steven/.agent-skills-backup-2026-08-18/agents/2-personal-tooled/code-review.md"
agent,code-reviewer,backup/archive,86834916d903ad21c8e1d7546729d5ae0525038d4aaf9ae510dfc135735780d3,2848,"/Users/steven/.agent-skills-backup-2026-08-18/agents/code-review.md"
agent,code-reviewer,backup/archive,6eccc59686422e133f137b77346a512506323c262f112fab830164897650b813,2458,"/Users/steven/.agent-skills-backup-2026-08-18/agents/code-reviewer.md"
agent,code-reviewer,backup/archive,86834916d903ad21c8e1d7546729d5ae0525038d4aaf9ae510dfc135735780d3,2848,"/Users/steven/.agent-skills-backup-2026-08-18/backups/agent-skills-20260815-024526/agents/2-personal-tooled/code-review.md"
agent,code-reviewer,backup/archive,86834916d903ad21c8e1d7546729d5ae0525038d4aaf9ae510dfc135735780d3,2848,"/Users/steven/.agent-skills-backup-2026-08-18/backups/agent-skills-20260815-024526/agents/code-review.md"
agent,code-reviewer,backup/archive,6eccc59686422e133f137b77346a512506323c262f112fab830164897650b813,2458,"/Users/steven/.agent-skills-backup-2026-08-18/backups/agent-skills-20260815-024526/agents/code-reviewer.md"
agent,code-reviewer,cache/vendored,5677b371344cdc444390fbb366041eee7ad204fdbc85b6a37f92671afa8bce7f,3115,"/Users/steven/.claude/plugins/cache/claude-plugins-official/coderabbit/1.1.1/agents/code-reviewer.md"
agent,code-reviewer,cache/vendored,a7df173bf77a00da5584c6401a1061524fdbe477b6fef5dd496d4c7a9113c78c,2994,"/Users/steven/.claude/plugins/cache/claude-plugins-official/feature-dev/unknown/agents/code-reviewer.md"
agent,code-reviewer,cache/vendored,019395c3ce457460115cc703e2f4a86fed4bbe560dc58355051c4d877155d366,3635,"/Users/steven/.claude/plugins/cache/claude-plugins-official/pr-review-toolkit/unknown/agents/code-reviewer.md"
agent,code-reviewer,cache/vendored,a7df173bf77a00da5584c6401a1061524fdbe477b6fef5dd496d4c7a9113c78c,2994,"/Users/steven/.claude/plugins/marketplaces/claude-plugins-official/plugins/feature-dev/agents/code-reviewer.md"
agent,code-reviewer,cache/vendored,019395c3ce457460115cc703e2f4a86fed4bbe560dc58355051c4d877155d366,3635,"/Users/steven/.claude/plugins/marketplaces/claude-plugins-official/plugins/pr-review-toolkit/agents/code-reviewer.md"
agent,code-reviewer,cache/vendored,a7df173bf77a00da5584c6401a1061524fdbe477b6fef5dd496d4c7a9113c78c,2994,"/Users/steven/.codex/.tmp/marketplaces/claude-plugins-official/plugins/feature-dev/agents/code-reviewer.md"
agent,code-reviewer,cache/vendored,019395c3ce457460115cc703e2f4a86fed4bbe560dc58355051c4d877155d366,3635,"/Users/steven/.codex/.tmp/marketplaces/claude-plugins-official/plugins/pr-review-toolkit/agents/code-reviewer.md"
agent,code-reviewer,project-local,6eccc59686422e133f137b77346a512506323c262f112fab830164897650b813,2458,"/Users/steven/.codex/agents/code-reviewer.md"
agent,code-reviewer,cache/vendored,1530b99e77fe785ffe8d81425427fcbf0e287da0120f1cd856e436e7fdd018c6,2762,"/Users/steven/.codex/plugins/cache/claude-plugins-official/coderabbit/1.1.1/agents/code-reviewer.md"
agent,code-reviewer,project-local,86834916d903ad21c8e1d7546729d5ae0525038d4aaf9ae510dfc135735780d3,2848,"/Users/steven/.config/poolside/agents/code-review.md"
agent,code-reviewer,project-local,6eccc59686422e133f137b77346a512506323c262f112fab830164897650b813,2458,"/Users/steven/.config/poolside/agents/code-reviewer.md"
agent,code-reviewer,backup/archive,638802c7718ba46b9f54bfc6ba72e33803f0a3b85be5f731eb15dff7cad00a5c,3212,"/Users/steven/.cursor/MERGE_BACKUP_20260411_025502/MERGE_BACKUP_20260411_025502/agents/code-reviewer.md"
agent,code-reviewer,backup/archive,638802c7718ba46b9f54bfc6ba72e33803f0a3b85be5f731eb15dff7cad00a5c,3212,"/Users/steven/.cursor/MERGE_BACKUP_20260411_025502/agents/code-reviewer.md"
agent,code-reviewer,project-local,638802c7718ba46b9f54bfc6ba72e33803f0a3b85be5f731eb15dff7cad00a5c,3212,"/Users/steven/.cursor/agents/code-reviewer.md"
agent,code-reviewer,cache/vendored,b17be291994b798cf34b74c5d0afcb9da92dd466453557933161cc4e7332029d,3888,"/Users/steven/.cursor/plugins/cache/cursor-public/superpowers/b7a8f76985f1e93e75dd2f2a3b424dc731bd9d37/agents/code-reviewer.md"
agent,code-reviewer,cache/vendored,6ca110005ba1f2a875d5b605c0bad1e3ed10330496b91ce74c294f7cfc0f4b20,2528,"/Users/steven/.gemini/antigravity-cli/plugins/supremepower/core/agents/code-reviewer.md"
agent,code-reviewer,backup/archive,638802c7718ba46b9f54bfc6ba72e33803f0a3b85be5f731eb15dff7cad00a5c,3212,"/Users/steven/.gemini/backups/re-ole-20260415/.qwen/agents/code-reviewer.md"
agent,code-reviewer,backup/archive,b17be291994b798cf34b74c5d0afcb9da92dd466453557933161cc4e7332029d,3888,"/Users/steven/.gemini/backups/re-ole-20260415/.qwen/superpowers/4.2.0/agents/code-reviewer.md"
agent,code-reviewer,backup/archive,b17be291994b798cf34b74c5d0afcb9da92dd466453557933161cc4e7332029d,3888,"/Users/steven/.gemini/backups/re-ole-20260415/.qwen/superpowers/agents/code-reviewer.md"
